,station_name,street_address,city,access_days_time,evse_units,latitude,longitude
51,CURRAN VOLKSWAG,2774-2788 CT-113,Stratford,24 Hours,2,-73.132624,41.198568
52,"Inn at Stonington, a Select Registry Property - Tesla Destination",60 Water St,Stonington,24 Hours,3,-71.906918,41.331744
53,"Westport Town Hall 110 Myrtle Ave Westport, CT 06880",110 Myrtle Avenue,Westport,Regular,2,-73.35947443366,41.145215689458
54,STARWOOD,1 Star Point,Stamford,24 Hours,2,-73.5318605,41.0409048
57,Crest Ford,218 Flanders Rd,Niantic,24 Hours,1,-72.211435,41.354043
58,Central Connecticut State University - Sheridan Dorm Lot,65 Wells St,New Britain,24 Hours,1,-72.762739,41.692973
59,LIBRARY KIOSK,24 Main St,New Milford,24 Hours,1,-73.41116,41.5785572
60,Hotel HiHo - Tesla Destination,4180 Black Rock Tpke,Fairfield,24 Hours,3,-73.271401,41.203858
61,Summer Street Garage,100 Summer St,Stamford,Regular,3,-73.541625,41.054155
62,MUNICIP STATION,3 Primrose St,Newtown,24 Hours,2,-73.2847962,41.4007757
63,PURDUE PHARMA,201 Tresser Blvd,Stamford,24 Hours,4,-73.53779,41.050574
64,Hartford High School,55 Forest St,Hartford,24 Hours,2,-72.701271,41.765034
65,Bloomfield Town Hall,800 Bloomfield Avenue,Bloomfield,Regular,2,-72.7373929,41.8298475
66,GUNNERY,16 Kirby Rd,Washington,24 Hours,2,-73.3124,41.628033
67,University of Connecticut - Storrs Center Garage,33 Royce Cir,Storrs,24 Hours,4,-72.2442218,41.8041965
68,JAGLRNH,521 Washington Ave,North Haven,24 Hours,2,-72.8415278,41.4168397
69,Town of Stafford - Town Hall,1 Main St,Stafford Springs,24 Hours,4,-72.303231,41.953668
70,Charter Oak International Academy,425 Oakwood Ave,West Hartford,24 Hours,2,-72.722829,41.742975
71,Town of Newington - Market Square,90 Market Square,Newington,24 Hours,4,-72.7214,41.6972
72,Riverfield School,1625 Mill Plain Rd,Fairfield,Regular,2,-73.267585,41.162306
73,Capital Regional Development Authority (CRDA),105 Columbus Blvd,Hartford,Regular,2,-72.670165,41.763287
74,The SoNo Collection,100 N Water St,Norwalk,Regular,10,-73.418883,41.104791
75,City of New Haven - Whalley Blake Parking Lot,919 Whalley Ave,New Haven,24 Hours,2,-72.960178,41.327848
76,Riverview Cinemas 8 and Playhouse - Tesla Destination,690 Main St S,Southbury,24 Hours,4,-73.230644,41.465044
77,The Ridgefield Playhouse,80 E Ridge Rd,Ridgefield,24 Hours,2,-73.492605,41.282264
78,Meriden Station Garage,24 Colony St,Meriden,24 Hours,3,-72.802667,41.539218
79,HONDA WESTPORT,1372 Post Rd E,Westport,24 Hours,3,-73.317072,41.138623
80,FOXWOODS,350 Trolley Line Blvd,Mashantucket,24 Hours,2,-71.9600027,41.4733521
81,TOWN HALL LOT,740 Main St,East Hartford,24 Hours,2,-72.6446905,41.7660404
82,FOXWOODS,350 Trolley Line Blvd,Ledyard,24 Hours,2,-71.9600034,41.4733358
83,Plainville High School,47 Robert Holcomb Way,Plainville,24 Hours,1,-72.8580302,41.6659341
85,Whole Foods Market,350 Grasmere Ave,Fairfield,Regular,1,-73.240315,41.157925
86,Tamarack Country Club - Tesla Destination,55 Locust Rd,Greenwich,24 Hours,3,-73.709755,41.094294
87,Madison Beach Hotel - Tesla Destination,94 W Wharf Rd,Madison,24 Hours,2,-72.608573,41.27077
88,Newington Electric,72 Pane Rd,Newington,24 Hours,3,-72.729203,41.65514
89,Premier Kia,205 N Main St,Branford,24 Hours,1,-72.809324,41.289894
91,NBCSG,98 Maher Rd,Stamford,24 Hours,14,-73.516045,41.054321
92,EDENS BISHOPS,345 N Main St,West Hartford,24 Hours,2,-72.7479436,41.784487
93,Propark - Water Street Garage,161 Water St,New London,Regular,4,-72.093784,41.355486
95,Manchester Honda,24 Adams St,Manchester,Regular,1,-72.552974,41.795898
97,Plainville Municipal Center,1 Central Square,Plainville,24 Hours,1,-72.8670212999999,41.6717114
98,The Study at Yale - Tesla Destination,1157 Chapel St,New Haven,24 Hours,2,-72.932698,41.308741
99,Connecticut Science Center,250 Columbus Blvd,Hartford,Regular,2,-72.668833,41.764376
100,Windham High School,355 High St,Windham,24 Hours,2,-72.214432,41.723169
